participant_id,minutes_spent_grooming,sex
20180301182171,30,Male
20180807181204,0,Male
20180807181773,10,Male
20180403182157,0,Male
20180605181860,31,Male
20181212182174,0,Male
20180908180633,0,Male
20180908181697,0,Male
20181009180549,0,Male
20181009180108,10,Male
20180402181692,40,Male
20180111171213,35,Male
20181211182375,60,Male
20181009180800,45,Male
20180908181986,15,Male
20180605180625,44,Male
20180807181504,60,Male
20180706181953,20,Male
20180301181856,17,Male
20180908182457,15,Male
20180403181441,0,Male
20180303181888,20,Male
20180403182286,0,Male
20181211180939,0,Male
20180302181651,0,Male
20180403180916,45,Female
20181110180975,45,Female
20180605181005,45,Female
20181212182008,85,Female
20181211180733,80,Female
20180403180858,0,Female
20180112171485,30,Female
20180908181695,60,Female
20181110181766,125,Female
20180807180652,30,Female
20180706180586,0,Female
20180403182418,0,Female
20180705181697,20,Female
20180403180648,60,Female
20180302181972,30,Female
20180302182314,30,Female
20180706181241,18,Female
20181010180110,5,Female
20180808181337,66,Female
20180604181075,65,Female
20180707182401,60,Female
20181211182428,30,Female
20181211181204,0,Female
20180504181924,40,Female
20180706181530,0,Female
