participant_id,minutes_spent_sleeping,sex
20181211181182,270,Male
20180908180663,600,Male
20180706181412,355,Male
20181009181978,405,Male
20180503180964,270,Male
20181211181212,750,Male
20180111171481,439,Male
20181110182215,463,Male
20180201180821,690,Male
20180504180926,420,Male
20180707181501,510,Male
20181110182144,645,Male
20181010181701,450,Male
20180302182362,450,Male
20180302182029,300,Male
20181010180618,540,Male
20181212182273,595,Male
20180112170979,1030,Male
20180302182482,669,Male
20180807182325,660,Male
20181211181928,435,Male
20181110181802,510,Male
20181109181513,420,Male
20180201181521,629,Male
20180101181935,485,Male
20180505181422,660,Female
20180302180746,660,Female
20180504182064,775,Female
20180504181407,595,Female
20180112170022,660,Female
20180302182174,630,Female
20180706181335,584,Female
20180302182063,445,Female
20180808182270,425,Female
20181212181428,560,Female
20180503180544,585,Female
20181009181799,480,Female
20181211180915,700,Female
20181110181428,575,Female
20180706182265,600,Female
20180201181578,484,Female
20180201181283,517,Female
20181009181257,500,Female
20180605180994,330,Female
20180201180011,660,Female
20180302180591,570,Female
20180404182194,420,Female
20180908180827,955,Female
20180403181569,528,Female
20180403181890,660,Female
