team,payroll,wins
Arizona Diamondbacks,96777231,85
Atlanta Braves,89551043,97
Baltimore Orioles,61124882,54
Boston Red Sox,187232500,84
Chicago Cubs,194081714,84
Chicago White Sox,83757121,72
Cincinnati Reds,106440714,75
Cleveland Indians,88713833,93
Colorado Rockies,125185509,71
Detroit Tigers,97988900,47
Houston Astros,147619666,107
Kansas City Royals,67941887,59
Los Angeles Angels,132175083,72
Los Angeles Dodgers,99803334,106
Miami Marlins,69574714,57
Milwaukee Brewers,108403700,89
Minnesota Twins,101056933,101
New York Mets,91576770,86
New York Yankees,118832077,103
Oakland Athletics,84345833,97
Philadelphia Phillies,131152962,81
Pittsburgh Pirates,54577502,69
San Diego Padres,63068635,70
San Francisco Giants,157271237,77
Seattle Mariners,116382175,68
St. Louis Cardinals,125365166,91
Tampa Bay Rays,49084731,96
Texas Rangers,104349564,78
Toronto Blue Jays,54568171,67
Washington Nationals,154176081,93
