player,salary,team
Gorgui Dieng,16229213,Grizzlies
Jonas Valančiūnas,16000000,Grizzlies
Justise Winslow,13000000,Grizzlies
Kyle Anderson,9073050,Grizzlies
Ja Morant,8730240,Grizzlies
Tyus Jones,8408000,Grizzlies
Josh Jackson,7059480,Grizzlies
Jaren Jackson,6927480,Grizzlies
Marko Guduric,2625000,Grizzlies
Brandon Clarke,2478840,Grizzlies
Grayson Allen,2429400,Grizzlies
Jordan Bell,1620564,Grizzlies
Dillon Brooks,1618520,Grizzlies
De'Anthony Melton,1416852,Grizzlies
LeBron James,37436858,Lakers
Anthony Davis,27093019,Lakers
Danny Green,14634146,Lakers
Kentavious Caldwell-Pope,8089282,Lakers
Avery Bradley,4767000,Lakers
JaVale McGee,4000000,Lakers
DeMarcus Cousins,3500000,Lakers
Quinn Cook,3000000,Lakers
Alex Caruso,2750000,Lakers
Jared Dudley,2564753,Lakers
Dwight Howard,2564753,Lakers
Rajon Rondo,2564753,Lakers
Troy Daniels,2028594,Lakers
Kyle Kuzma,1974600,Lakers
Talen Horton-Tucker,898310,Lakers
